ckpt_dir,lambda_sigreg,active_0_1,active_0_5
checkpoints/s5_b1e_4_sig_0_200ep_20260504_171413,0.0,3072,3009
checkpoints/s5_b1e_4_sig_1_200ep_20260504_171413,1.0,3072,3021
checkpoints/s5_b1e_4_sig_3_200ep_20260504_171413,3.0,3072,3022
checkpoints/s5_b1e_4_sig_10_200ep_20260504_171413,10.0,3072,2994
checkpoints/s5_b1e_4_sig_30_200ep_20260504_171413,30.0,3072,2831
checkpoints/s5_b1e_4_sig_100_200ep_20260504_171413,100.0,3072,2385
checkpoints/s5_b1e_4_sig_300_200ep_20260504_171413,300.0,3072,1036
checkpoints/s5_b1e_4_sig_1000_200ep_20260504_171413,1000.0,3065,398
