side,rank,dataset_idx,image_path,mu,sigma,kl
negative_mu,1,55922,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62127.png,-1.078125,1.0214674472808838,0.5816342830657959
negative_mu,2,22765,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/25308.png,-1.03125,1.0207195281982422,0.5321645736694336
negative_mu,3,3976,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/04456.png,-1.0234375,1.0184792280197144,0.5240515470504761
negative_mu,4,38080,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/42301.png,-1.015625,1.0108617544174194,0.5158646106719971
negative_mu,5,42202,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/46868.png,-0.98046875,1.0038219690322876,0.4806740880012512
negative_mu,6,3214,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/03598.png,-0.97265625,1.0171124935150146,0.47332125902175903
negative_mu,7,38524,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/42794.png,-0.96484375,1.0155616998672485,0.4657026529312134
negative_mu,8,28446,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/31606.png,-0.96484375,1.0163679122924805,0.465728223323822
negative_mu,9,18052,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/20094.png,-0.96484375,1.0149420499801636,0.46568387746810913
negative_mu,10,39499,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/43869.png,-0.953125,1.0203458070755005,0.4546348452568054
positive_mu,1,61222,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/68047.png,1.1796875,0.9837756156921387,0.6960959434509277
positive_mu,2,45176,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/50152.png,1.1484375,0.9818560481071472,0.6597855091094971
positive_mu,3,56583,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62886.png,1.140625,0.9941577315330505,0.6505469083786011
positive_mu,4,56359,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62634.png,1.1171875,0.9916730523109436,0.6241234540939331
positive_mu,5,42527,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47226.png,1.1015625,0.9925813674926758,0.606775164604187
positive_mu,6,8298,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/09235.png,1.0859375,0.9899193048477173,0.5897320508956909
positive_mu,7,35434,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/39347.png,1.078125,0.9956151247024536,0.5811960697174072
positive_mu,8,59303,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/65906.png,1.0625,0.9900401830673218,0.5645526647567749
positive_mu,9,36555,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/40596.png,1.0546875,0.9914309978485107,0.5562565326690674
positive_mu,10,13546,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/15082.png,1.046875,0.9970289468765259,0.5479824542999268
