side,rank,dataset_idx,image_path,mu,sigma,kl
negative_mu,1,1878,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/02099.png,-0.96875,0.9949468970298767,0.46926385164260864
negative_mu,2,26460,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/29390.png,-0.94921875,0.996435821056366,0.4505208730697632
negative_mu,3,56189,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62435.png,-0.92578125,0.9870836734771729,0.4287030100822449
negative_mu,4,51787,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/57496.png,-0.8984375,0.9908260107040405,0.40367937088012695
negative_mu,5,37742,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/41927.png,-0.87890625,0.9897381067276001,0.386343777179718
negative_mu,6,42411,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47099.png,-0.875,0.9904632568359375,0.3829037547111511
negative_mu,7,26630,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/29573.png,-0.8671875,0.9961469769477844,0.37602198123931885
negative_mu,8,43060,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47810.png,-0.86328125,0.9926419258117676,0.37268149852752686
negative_mu,9,15989,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17802.png,-0.859375,0.9977442622184753,0.3692678213119507
negative_mu,10,21775,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/24213.png,-0.859375,1.0009922981262207,0.3692637085914612
positive_mu,1,3252,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/03642.png,0.94140625,1.0063064098358154,0.44316256046295166
positive_mu,2,13372,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/14885.png,0.890625,0.9982924461364746,0.396609365940094
positive_mu,3,35322,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/39225.png,0.8359375,0.9890738129615784,0.34951555728912354
positive_mu,4,32321,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/35919.png,0.83203125,1.001649260520935,0.3461407423019409
positive_mu,5,39467,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/43832.png,0.83203125,1.0027350187301636,0.3461454510688782
positive_mu,6,59383,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/65996.png,0.828125,0.9962685704231262,0.34290945529937744
positive_mu,7,57578,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/63980.png,0.81640625,1.0060914754867554,0.33329659700393677
positive_mu,8,17747,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/19759.png,0.8125,0.9984524250030518,0.330080509185791
positive_mu,9,56583,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62886.png,0.8125,1.0108617544174194,0.33019566535949707
positive_mu,10,15267,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17012.png,0.80859375,0.9994127154350281,0.3269122838973999
