side,rank,dataset_idx,image_path,mu,sigma,kl
negative_mu,1,48230,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/53546.png,-0.890625,0.9987495541572571,0.39660799503326416
negative_mu,2,62027,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/68929.png,-0.87890625,1.0014277696609497,0.3862401247024536
negative_mu,3,37802,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/41993.png,-0.87109375,0.9991801977157593,0.37940287590026855
negative_mu,4,48158,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/53469.png,-0.87109375,0.9953113198280334,0.37942421436309814
negative_mu,5,15872,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17677.png,-0.86328125,0.9922482371330261,0.37268751859664917
negative_mu,6,32371,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/35976.png,-0.859375,1.0082738399505615,0.3693309426307678
negative_mu,7,702,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/00779.png,-0.84375,0.9944915175437927,0.35598742961883545
negative_mu,8,47085,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/52260.png,-0.84375,0.9970746040344238,0.35596561431884766
negative_mu,9,6980,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/07791.png,-0.83984375,0.9954631924629211,0.35268938541412354
negative_mu,10,42119,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/46773.png,-0.83984375,0.9957366585731506,0.3526870012283325
positive_mu,1,53798,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/59746.png,0.9921875,0.9890738129615784,0.49233782291412354
positive_mu,2,58536,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/65050.png,0.9765625,0.9932783246040344,0.4768824577331543
positive_mu,3,26189,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/29095.png,0.94921875,0.999791145324707,0.45050811767578125
positive_mu,4,19506,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/21699.png,0.92578125,0.9988791346549988,0.42853671312332153
positive_mu,5,4138,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/04651.png,0.921875,0.9844964146614075,0.42516839504241943
positive_mu,6,20696,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/23017.png,0.921875,0.9966943264007568,0.42493772506713867
positive_mu,7,24160,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/26851.png,0.9140625,1.0079046487808228,0.41781747341156006
positive_mu,8,19345,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/21530.png,0.91015625,0.9896172881126404,0.4143003821372986
positive_mu,9,59955,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/66624.png,0.890625,0.9922482371330261,0.3966667056083679
positive_mu,10,16805,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/18706.png,0.890625,1.0035003423690796,0.39661866426467896
