side,rank,dataset_idx,image_path,mu,sigma,kl
negative_mu,1,7963,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/08874.png,-1.1484375,0.9914914965629578,0.6595269441604614
negative_mu,2,8516,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/09476.png,-1.1484375,0.9977594614028931,0.6594593524932861
negative_mu,3,42720,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47438.png,-1.140625,1.007197380065918,0.650564432144165
negative_mu,4,51757,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/57462.png,-1.1328125,0.980658233165741,0.6420086622238159
negative_mu,5,34262,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/38066.png,-1.125,0.9901610016822815,0.6329096555709839
negative_mu,6,39016,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/43332.png,-1.109375,0.996222972869873,0.6153707504272461
negative_mu,7,14967,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/16668.png,-1.09375,0.995280921459198,0.598166823387146
negative_mu,8,29625,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/32927.png,-1.0859375,0.9963445663452148,0.5896434783935547
negative_mu,9,1581,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/01767.png,-1.0859375,1.0063371658325195,0.5896701812744141
negative_mu,10,51630,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/57322.png,-1.0859375,0.9812569618225098,0.5899837017059326
positive_mu,1,5016,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/05625.png,1.2109375,0.981137216091156,0.7335429191589355
positive_mu,2,47156,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/52339.png,1.1953125,0.9875657558441162,0.7145411968231201
positive_mu,3,43335,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/48112.png,1.140625,0.9840158224105835,0.6507695913314819
positive_mu,4,9558,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/10644.png,1.140625,0.9794619083404541,0.6509374380111694
positive_mu,5,46394,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/51506.png,1.1328125,0.9787447452545166,0.6420871019363403
positive_mu,6,60157,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/66845.png,1.1328125,1.0088893175125122,0.6417108774185181
positive_mu,7,16019,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17836.png,1.125,0.980658233165741,0.6331890821456909
positive_mu,8,30514,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/33920.png,1.1171875,1.0135183334350586,0.6242358684539795
positive_mu,9,11465,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/12770.png,1.09375,0.9768350124359131,0.5986853837966919
positive_mu,10,44409,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/49295.png,1.0859375,1.0088893175125122,0.5897089242935181
